Local time,Ask,Bid,AskVolume,BidVolume
20.09.2017 07:05:15.336 GMT+0100,2505.91,2505.469,0,0.0014
20.09.2017 07:05:15.387 GMT+0100,2506.08,2505.51,0,0.0005
20.09.2017 07:05:15.459 GMT+0100,2505.83,2505.51,0.0001,0.0005
20.09.2017 07:05:25.501 GMT+0100,2505.83,2505.349,0.0001,0.0005
20.09.2017 07:08:16.749 GMT+0100,2505.83,2505.559,0.0001,0.0005
20.09.2017 07:08:22.850 GMT+0100,2505.83,2505.509,0.0001,0.0005
20.09.2017 07:08:41.493 GMT+0100,2505.83,2505.35,0.0001,0.0005
20.09.2017 07:11:25.050 GMT+0100,2506.11,2505.51,0.0005,0.0005
20.09.2017 07:12:04.193 GMT+0100,2505.911,2505.349,0.0005,0.0005
20.09.2017 07:14:27.252 GMT+0100,2506.08,2505.51,0.0005,0.0005
20.09.2017 07:14:29.302 GMT+0100,2505.91,2505.35,0.0005,0.0005
20.09.2017 07:14:49.522 GMT+0100,2506.03,2505.4700000000003,0.0005,0.0005
20.09.2017 07:15:00.603 GMT+0100,2505.83,2505.4700000000003,0.0001,0.0005
20.09.2017 07:15:00.654 GMT+0100,2505.83,2505.349,0.0001,0.0005
20.09.2017 07:15:22.766 GMT+0100,2505.781,2505.219,0,0.0005
20.09.2017 07:15:22.816 GMT+0100,2505.661,2505.17,0,0.0014
20.09.2017 07:15:22.931 GMT+0100,2505.6310000000003,2505.099,0.0001,0.0005
20.09.2017 07:17:20.971 GMT+0100,2505.6310000000003,2505.219,0.0001,0.0005
20.09.2017 07:17:21.096 GMT+0100,2505.831,2505.35,0.0001,0.0005
20.09.2017 07:19:40.065 GMT+0100,2505.831,2505.17,0.0001,0.0005
20.09.2017 07:19:55.245 GMT+0100,2505.831,2505.35,0.0001,0.0005
20.09.2017 07:20:10.926 GMT+0100,2505.78,2505.2200000000003,0,0.0005
20.09.2017 07:20:11.026 GMT+0100,2505.831,2505.349,0.0001,0.0005
20.09.2017 07:20:27.338 GMT+0100,2505.78,2505.2200000000003,0,0.0005
20.09.2017 07:20:27.389 GMT+0100,2505.661,2505.169,0,0.0014
20.09.2017 07:20:27.504 GMT+0100,2505.63,2505.099,0.0001,0.0005
20.09.2017 07:23:35.443 GMT+0100,2505.63,2505.259,0.0001,0.0005
20.09.2017 07:23:39.492 GMT+0100,2505.63,2505.1,0.0001,0.0005
20.09.2017 07:26:39.642 GMT+0100,2505.831,2505.259,0.0005,0.0005
20.09.2017 07:26:43.734 GMT+0100,2505.66,2505.1,0.0005,0.0005
20.09.2017 07:27:23.825 GMT+0100,2505.78,2505.2200000000003,0.0005,0.0005
20.09.2017 07:28:19.807 GMT+0100,2505.83,2505.26,0,0.0005
20.09.2017 07:28:19.929 GMT+0100,2505.63,2505.26,0.0001,0.0005
20.09.2017 07:28:34.035 GMT+0100,2505.63,2505.099,0.0001,0.0005
20.09.2017 07:29:03.422 GMT+0100,2505.63,2505.219,0.0001,0.0005
20.09.2017 07:29:03.590 GMT+0100,2505.83,2505.35,0.0001,0.0005
20.09.2017 07:29:28.818 GMT+0100,2505.78,2505.2200000000003,0,0.0005
20.09.2017 07:29:28.868 GMT+0100,2505.6310000000003,2505.2200000000003,0.0001,0.0005
20.09.2017 07:29:29.063 GMT+0100,2505.83,2505.35,0.0001,0.0005
20.09.2017 07:32:35.475 GMT+0100,2505.83,2505.51,0.0001,0.0005
20.09.2017 07:32:38.006 GMT+0100,2505.83,2505.349,0.0001,0.0005
20.09.2017 07:32:44.556 GMT+0100,2505.781,2505.219,0,0.0005
20.09.2017 07:32:44.606 GMT+0100,2505.661,2505.17,0,0.0014
20.09.2017 07:33:13.077 GMT+0100,2505.78,2505.2200000000003,0,0.0005
20.09.2017 07:33:13.127 GMT+0100,2505.6310000000003,2505.099,0.0001,0.0005
20.09.2017 07:34:44.193 GMT+0100,2505.64,2505.59,0.0001,0.0005
20.09.2017 07:34:44.243 GMT+0100,2505.911,2505.469,0,0.0014
20.09.2017 07:34:44.369 GMT+0100,2505.83,2505.349,0.0001,0.0005
20.09.2017 07:35:05.486 GMT+0100,2505.83,2505.4700000000003,0.0001,0.0005
20.09.2017 07:35:05.537 GMT+0100,2506.13,2505.6,0.0001,0.0005
20.09.2017 07:35:39.356 GMT+0100,2506.13,2505.849,0.0001,0.0005
20.09.2017 07:35:39.406 GMT+0100,2506.161,2505.669,0,0.0014
20.09.2017 07:35:39.557 GMT+0100,2506.13,2505.599,0.0001,0.0005
20.09.2017 07:38:39.824 GMT+0100,2506.13,2505.759,0.0001,0.0005
20.09.2017 07:38:45.923 GMT+0100,2506.13,2505.809,0.0001,0.0005
20.09.2017 07:38:52.029 GMT+0100,2506.13,2505.599,0.0001,0.0005
20.09.2017 07:41:44.028 GMT+0100,2506.331,2505.759,0.0005,0.0005
20.09.2017 07:41:48.079 GMT+0100,2506.16,2505.6,0.0005,0.0005
20.09.2017 07:42:00.749 GMT+0100,2506.33,2505.42,0.0005,0.0005
20.09.2017 07:42:36.197 GMT+0100,2506.16,2505.6,0.0005,0.0005
20.09.2017 07:44:48.228 GMT+0100,2506.3610000000003,2505.759,0.0005,0.0005
20.09.2017 07:44:54.328 GMT+0100,2506.41,2505.81,0.0005,0.0005
20.09.2017 07:44:55.014 GMT+0100,2506.371,2505.809,0.0005,0.0005
