Local time,Ask,Bid,AskVolume,BidVolume
30.10.2019 01:02:07.210 GMT+0100,158.689,158.655,0.0125,0.02
30.10.2019 01:03:10.731 GMT+0100,158.688,158.656,0.0125,0.02
30.10.2019 01:03:11.340 GMT+0100,158.689,158.655,0.02,0.02
30.10.2019 01:03:15.100 GMT+0100,158.688,158.656,0.0125,0.02
30.10.2019 01:03:17.785 GMT+0100,158.689,158.655,0.02,0.02
30.10.2019 01:03:18.628 GMT+0100,158.688,158.656,0.0125,0.02
30.10.2019 01:03:29.302 GMT+0100,158.689,158.655,0.02,0.02
30.10.2019 01:03:29.809 GMT+0100,158.688,158.656,0.0125,0.02
30.10.2019 01:03:30.114 GMT+0100,158.689,158.655,0.02,0.02
30.10.2019 01:03:34.334 GMT+0100,158.721,158.687,0.02,0.02
30.10.2019 01:03:40.907 GMT+0100,158.733,158.688,1.01,0.015
30.10.2019 01:03:42.670 GMT+0100,158.733,158.687,1.01,0.015
30.10.2019 01:04:02.831 GMT+0100,158.733,158.688,1.01,0.015
30.10.2019 01:04:23.316 GMT+0100,158.733,158.687,1.01,0.015
30.10.2019 01:04:26.697 GMT+0100,158.733,158.688,1.01,0.015
30.10.2019 01:04:31.119 GMT+0100,158.733,158.687,1.01,0.015
30.10.2019 01:04:37.013 GMT+0100,158.72,158.688,0.0125,0.02
30.10.2019 01:04:37.169 GMT+0100,158.721,158.687,0.02,0.02
30.10.2019 01:04:42.671 GMT+0100,158.72,158.688,0.0125,0.02
30.10.2019 01:04:47.580 GMT+0100,158.721,158.687,0.0125,0.02
30.10.2019 01:04:48.975 GMT+0100,158.752,158.718,0.02,0.0125
30.10.2019 01:07:07.143 GMT+0100,158.752,158.718,0.02,0.02
30.10.2019 01:08:00.110 GMT+0100,158.751,158.719,0.02,0.02
30.10.2019 01:08:12.122 GMT+0100,158.721,158.687,0.0125,0.02
30.10.2019 01:08:39.178 GMT+0100,158.733,158.717,0.75,0.0094
30.10.2019 01:08:39.292 GMT+0100,158.762,158.719,1.01,0.0094
30.10.2019 01:09:00.133 GMT+0100,158.762,158.718,1.01,0.0094
30.10.2019 01:09:04.258 GMT+0100,158.733,158.717,0.75,0.0094
30.10.2019 01:09:04.308 GMT+0100,158.733,158.687,1.01,0.015
30.10.2019 01:09:27.932 GMT+0100,158.753,158.702,1.01,0.015
30.10.2019 01:09:48.433 GMT+0100,158.762,158.719,1.01,0.0094
30.10.2019 01:10:00.112 GMT+0100,158.762,158.718,1.01,0.0094
30.10.2019 01:10:02.181 GMT+0100,158.762,158.698,1.01,0.75
30.10.2019 01:10:02.303 GMT+0100,158.732,158.687,1.01,0.015
30.10.2019 01:10:07.751 GMT+0100,158.732,158.703,0.75,0.015
30.10.2019 01:10:07.857 GMT+0100,158.732,158.717,0.75,0.0094
30.10.2019 01:10:07.921 GMT+0100,158.762,158.719,1.01,0.0094
30.10.2019 01:10:11.761 GMT+0100,158.733,158.717,0.75,0.0094
30.10.2019 01:10:11.811 GMT+0100,158.733,158.688,1.01,0.015
30.10.2019 01:10:45.580 GMT+0100,158.733,158.703,0.75,0.015
30.10.2019 01:10:45.733 GMT+0100,158.763,158.703,1.01,0.015
30.10.2019 01:10:45.887 GMT+0100,158.763,158.719,1.01,0.015
30.10.2019 01:11:35.825 GMT+0100,158.763,158.748,0.75,0.015
30.10.2019 01:11:35.876 GMT+0100,158.80200000000002,158.749,1.01,0.015
30.10.2019 01:12:17.578 GMT+0100,158.80200000000002,158.75,1.01,0.015
30.10.2019 01:12:17.682 GMT+0100,158.80200000000002,158.749,1.01,0.015
30.10.2019 01:12:25.118 GMT+0100,158.80200000000002,158.78,0.75,0.015
30.10.2019 01:12:25.262 GMT+0100,158.833,158.781,1.01,0.015
30.10.2019 01:12:27.523 GMT+0100,158.833,158.78,1.01,0.015
30.10.2019 01:12:30.191 GMT+0100,158.833,158.781,1.01,0.015
30.10.2019 01:12:30.242 GMT+0100,158.833,158.812,0.75,0.0094
30.10.2019 01:12:30.391 GMT+0100,158.863,158.812,1.01,0.0094
30.10.2019 01:13:28.004 GMT+0100,158.863,158.828,1.01,0.015
30.10.2019 01:13:28.303 GMT+0100,158.863,158.812,1.01,0.015
30.10.2019 01:14:00.357 GMT+0100,158.814,158.78,0.0125,0.02
30.10.2019 01:14:49.383 GMT+0100,158.83200000000002,158.781,1.01,0.015
30.10.2019 01:15:03.962 GMT+0100,158.814,158.78,0.02,0.0125
30.10.2019 01:15:26.154 GMT+0100,158.813,158.78,0.75,0.0094
30.10.2019 01:15:27.167 GMT+0100,158.833,158.76700000000002,1.01,0.75
30.10.2019 01:15:27.217 GMT+0100,158.833,158.781,1.01,0.0094
30.10.2019 01:15:32.459 GMT+0100,158.833,158.78,1.01,0.015
30.10.2019 01:15:32.568 GMT+0100,158.833,158.781,1.01,0.0094
30.10.2019 01:16:29.881 GMT+0100,158.829,158.797,0.02,0.02
30.10.2019 01:16:29.989 GMT+0100,158.863,158.813,1.01,0.0094
30.10.2019 01:16:52.478 GMT+0100,158.863,158.812,1.01,0.015
30.10.2019 01:17:34.220 GMT+0100,158.845,158.813,0.02,0.02
30.10.2019 01:17:34.541 GMT+0100,158.813,158.781,0.0125,0.02
30.10.2019 01:17:50.637 GMT+0100,158.83200000000002,158.797,1.01,0.015
30.10.2019 01:17:51.167 GMT+0100,158.863,158.813,1.01,0.0094
30.10.2019 01:18:19.012 GMT+0100,158.843,158.813,0.75,0.0094
30.10.2019 01:18:23.304 GMT+0100,158.863,158.813,1.01,0.0094
30.10.2019 01:18:24.227 GMT+0100,158.863,158.812,1.01,0.015
30.10.2019 01:18:24.529 GMT+0100,158.863,158.813,1.01,0.0094
30.10.2019 01:18:37.025 GMT+0100,158.863,158.812,1.01,0.015
30.10.2019 01:18:37.404 GMT+0100,158.863,158.813,1.01,0.0094
30.10.2019 01:20:06.422 GMT+0100,158.845,158.813,0.02,0.02
30.10.2019 01:20:07.222 GMT+0100,158.846,158.812,0.02,0.02
30.10.2019 01:21:09.806 GMT+0100,158.845,158.813,0.02,0.0125
30.10.2019 01:22:28.787 GMT+0100,158.846,158.812,0.02,0.0125
30.10.2019 01:22:59.799 GMT+0100,158.813,158.781,0.0125,0.02
