Local time,Ask,Bid,AskVolume,BidVolume
15.03.2020 23:00:20.286 GMT+0100,2658.348,2657.64,0.003,0.003
15.03.2020 23:00:33.864 GMT+0100,2633.357,2632.6459999999997,0.0022,0.0022
15.03.2020 23:00:33.966 GMT+0100,2632.363,2631.6490000000003,0.0022,0.0022
15.03.2020 23:00:46.914 GMT+0100,2608.648,2608,0.0022,0.0022
15.03.2020 23:00:47.015 GMT+0100,2608.045,2607.349,0.0022,0.0022
15.03.2020 23:00:47.166 GMT+0100,2607.7000000000003,2607.052,0.0022,0.0022
15.03.2020 23:00:47.217 GMT+0100,2607.654,2606.9370000000004,0.0022,0.0022
15.03.2020 23:00:47.317 GMT+0100,2607.66,2606.9370000000004,0.0022,0.0022
15.03.2020 23:00:47.368 GMT+0100,2607.545,2606.846,0.0022,0.0022
15.03.2020 23:00:47.475 GMT+0100,2607.5660000000003,2606.9,0.0022,0.0022
15.03.2020 23:00:47.575 GMT+0100,2606.5660000000003,2605.837,0.0022,0.0022
15.03.2020 23:00:47.793 GMT+0100,2605.857,2605.146,0.0022,0.0022
15.03.2020 23:00:47.949 GMT+0100,2606.351,2605.634,0.0022,0.0022
15.03.2020 23:00:48.049 GMT+0100,2605.748,2605.052,0.0022,0.0022
15.03.2020 23:00:48.099 GMT+0100,2605.763,2605.043,0.0022,0.0022
15.03.2020 23:00:48.200 GMT+0100,2605.563,2604.846,0.0022,0.0022
15.03.2020 23:00:48.394 GMT+0100,2605.754,2605.0460000000003,0.0022,0.0022
15.03.2020 23:00:48.511 GMT+0100,2605.645,2604.9429999999998,0.0022,0.0022
15.03.2020 23:01:00.094 GMT+0100,2592.366,2591.655,0.0022,0.0022
15.03.2020 23:01:00.144 GMT+0100,2592.563,2591.855,0.0022,0.0022
15.03.2020 23:01:13.595 GMT+0100,2593.348,2592.655,0.0022,0.0022
15.03.2020 23:01:23.653 GMT+0100,2593.6,2592.934,0.0004,0.003
15.03.2020 23:01:23.704 GMT+0100,2594.148,2593.44,0.0027,0.003
15.03.2020 23:01:23.825 GMT+0100,2594.148,2593.855,0.0004,0.0022
15.03.2020 23:01:23.876 GMT+0100,2594.554,2593.855,0.0004,0.0022
15.03.2020 23:01:23.986 GMT+0100,2594.554,2594.155,0.0004,0.0022
15.03.2020 23:01:24.037 GMT+0100,2594.266,2593.5370000000003,0.0027,0.003
15.03.2020 23:01:24.087 GMT+0100,2594.86,2593.54,0.0027,0.003
15.03.2020 23:01:24.137 GMT+0100,2594.857,2594.146,0.0004,0.0022
15.03.2020 23:01:24.188 GMT+0100,2594.8450000000003,2594.143,0.0004,0.003
15.03.2020 23:01:24.298 GMT+0100,2594.86,2594.143,0.0027,0.003
15.03.2020 23:01:24.387 GMT+0100,2594.86,2593.5460000000003,0.0027,0.003
15.03.2020 23:01:24.437 GMT+0100,2594.266,2593.5460000000003,0.0027,0.0022
15.03.2020 23:01:24.548 GMT+0100,2594.266,2593.8520000000003,0.0004,0.0022
15.03.2020 23:01:24.598 GMT+0100,2594.548,2593.8520000000003,0.0004,0.0022
15.03.2020 23:01:24.710 GMT+0100,2594.548,2594.049,0.0004,0.0022
15.03.2020 23:01:24.760 GMT+0100,2594.751,2594.034,0.0004,0.003
15.03.2020 23:01:24.950 GMT+0100,2596.751,2596.0460000000003,0.0027,0.0045
15.03.2020 23:01:25.000 GMT+0100,2596.045,2595.4,0.0004,0.0022
15.03.2020 23:01:25.050 GMT+0100,2594.754,2594.0460000000003,0.0027,0.003
15.03.2020 23:01:25.101 GMT+0100,2596.3,2595.655,0.0004,0.003
15.03.2020 23:01:25.238 GMT+0100,2596.6510000000003,2595.94,0.0004,0.0022
15.03.2020 23:01:25.338 GMT+0100,2597.366,2596.643,0.0027,0.0022
15.03.2020 23:01:25.478 GMT+0100,2597.366,2597.0460000000003,0.0004,0.0022
15.03.2020 23:01:25.528 GMT+0100,2597.757,2597.0460000000003,0.0027,0.003
15.03.2020 23:01:25.578 GMT+0100,2597.266,2596.552,0.0027,0.003
15.03.2020 23:01:25.679 GMT+0100,2596.366,2595.637,0.0027,0.003
15.03.2020 23:01:25.779 GMT+0100,2596.366,2595.652,0.0004,0.0007
15.03.2020 23:01:25.829 GMT+0100,2596.363,2595.643,0.0027,0.0022
15.03.2020 23:01:25.880 GMT+0100,2597.763,2596.4370000000004,0.0027,0.003
15.03.2020 23:01:25.930 GMT+0100,2597.1510000000003,2596.44,0.0027,0.003
15.03.2020 23:01:25.980 GMT+0100,2598.2000000000003,2597.54,0.0027,0.0022
