Local time,Ask,Bid,AskVolume,BidVolume
29.01.2020 00:00:00.090 GMT+0100,161.032,160.996,0.0205,0.0195
29.01.2020 00:00:00.195 GMT+0100,161.035,160.996,0.0205,0.0195
29.01.2020 00:00:00.709 GMT+0100,161.037,160.995,0.0205,0.0195
29.01.2020 00:00:01.468 GMT+0100,161.035,160.998,0.0205,0.0195
29.01.2020 00:00:02.082 GMT+0100,161.035,160.999,0.0205,0.0195
29.01.2020 00:00:02.764 GMT+0100,161.061,161.031,0.0205,0.0195
29.01.2020 00:00:03.701 GMT+0100,161.06799999999998,161.028,0.0205,0.0195
29.01.2020 00:00:04.236 GMT+0100,161.065,161.03,0.0205,0.0195
29.01.2020 00:00:06.083 GMT+0100,161.067,161.028,0.0205,0.0195
29.01.2020 00:00:10.682 GMT+0100,161.035,160.999,0.0205,0.0195
29.01.2020 00:00:10.732 GMT+0100,161.067,161.028,0.0205,0.0195
29.01.2020 00:00:11.316 GMT+0100,161.03,160.998,0.0205,0.0195
29.01.2020 00:00:11.787 GMT+0100,161.037,160.997,0.0205,0.0195
29.01.2020 00:00:16.301 GMT+0100,161.035,161.002,0.0205,0.0195
29.01.2020 00:00:20.638 GMT+0100,161.002,160.965,0.0205,0.0195
29.01.2020 00:00:21.519 GMT+0100,161.032,160.995,0.0205,0.0195
29.01.2020 00:00:21.592 GMT+0100,161.004,160.964,0.0205,0.0195
29.01.2020 00:00:22.495 GMT+0100,161.001,160.964,0.0205,0.0195
29.01.2020 00:00:33.223 GMT+0100,161.002,160.971,0.0205,0.0195
29.01.2020 00:00:41.251 GMT+0100,161.001,160.964,0.0205,0.0195
29.01.2020 00:01:05.686 GMT+0100,161.034,161.002,0.0205,0.0195
29.01.2020 00:01:06.418 GMT+0100,161.03,160.996,0.0205,0.0195
29.01.2020 00:01:08.356 GMT+0100,161.004,160.971,0.0205,0.0195
29.01.2020 00:01:08.666 GMT+0100,161.019,160.98700000000002,0.0205,0.0195
29.01.2020 00:01:09.582 GMT+0100,161.003,160.971,0.0205,0.0195
29.01.2020 00:01:10.471 GMT+0100,161.02,160.98700000000002,0.0205,0.0195
29.01.2020 00:01:10.690 GMT+0100,161.034,160.997,0.0205,0.0195
29.01.2020 00:01:11.034 GMT+0100,161.033,160.996,0.0205,0.0195
29.01.2020 00:01:13.272 GMT+0100,161.037,160.998,0.0205,0.0195
29.01.2020 00:01:25.834 GMT+0100,161.035,160.996,0.0205,0.0195
29.01.2020 00:01:32.090 GMT+0100,161.067,161.031,0.0205,0.0195
29.01.2020 00:01:32.240 GMT+0100,161.049,161.01500000000001,0.0205,0.0195
29.01.2020 00:01:32.761 GMT+0100,161.05100000000002,161.01600000000002,0.0205,0.0195
29.01.2020 00:01:32.963 GMT+0100,161.063,161.026,0.0205,0.0195
29.01.2020 00:01:33.433 GMT+0100,161.063,161.03,0.0205,0.0195
29.01.2020 00:01:38.516 GMT+0100,161.067,161.031,0.0205,0.0195
29.01.2020 00:01:43.932 GMT+0100,161.066,161.02700000000002,0.0205,0.0195
29.01.2020 00:01:45.718 GMT+0100,161.06799999999998,161.028,0.0205,0.0195
29.01.2020 00:01:58.633 GMT+0100,161.06799999999998,161.031,0.0205,0.0195
29.01.2020 00:02:35.145 GMT+0100,161.097,161.059,0.0205,0.0195
29.01.2020 00:02:35.406 GMT+0100,161.097,161.058,0.0205,0.0195
29.01.2020 00:02:53.426 GMT+0100,161.1,161.063,0.0205,0.0195
29.01.2020 00:02:55.696 GMT+0100,161.09799999999998,161.063,0.0205,0.0195
29.01.2020 00:02:55.880 GMT+0100,161.099,161.059,0.0205,0.0195
29.01.2020 00:03:00.260 GMT+0100,161.099,161.065,0.0205,0.0195
29.01.2020 00:03:04.830 GMT+0100,161.097,161.065,0.0205,0.0195
29.01.2020 00:03:08.050 GMT+0100,161.131,161.092,0.0205,0.0195
29.01.2020 00:03:08.671 GMT+0100,161.13,161.096,0.0205,0.0195
29.01.2020 00:03:16.464 GMT+0100,161.127,161.089,0.0205,0.0195
29.01.2020 00:03:17.478 GMT+0100,161.126,161.09,0.0205,0.0195
29.01.2020 00:03:18.314 GMT+0100,161.126,161.094,0.0205,0.0195
29.01.2020 00:03:19.092 GMT+0100,161.127,161.096,0.0205,0.0195
29.01.2020 00:03:19.421 GMT+0100,161.129,161.089,0.0205,0.0195
29.01.2020 00:03:21.507 GMT+0100,161.126,161.092,0.0205,0.0195
29.01.2020 00:03:47.194 GMT+0100,161.124,161.094,0.0205,0.0195
29.01.2020 00:03:47.579 GMT+0100,161.126,161.09,0.0205,0.0195
29.01.2020 00:03:47.712 GMT+0100,161.096,161.063,0.0205,0.0195
29.01.2020 00:03:48.395 GMT+0100,161.097,161.063,0.0205,0.0195
29.01.2020 00:03:57.535 GMT+0100,161.127,161.089,0.0205,0.0195
29.01.2020 00:03:57.586 GMT+0100,161.097,161.065,0.0205,0.0195
29.01.2020 00:04:06.562 GMT+0100,161.1,161.062,0.0205,0.0195
29.01.2020 00:04:08.680 GMT+0100,161.093,161.058,0.0205,0.0195
29.01.2020 00:04:11.104 GMT+0100,161.093,161.063,0.0205,0.0195
29.01.2020 00:04:16.098 GMT+0100,161.097,161.06,0.0205,0.0195
29.01.2020 00:04:16.895 GMT+0100,161.096,161.059,0.0205,0.0195
